DGM,N_person,true_SD,true_var,err_SD,err_var,obs_var,sep_coef,strata,WLE_rel,EAP_rel
ALD,100,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
ALD,100,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
ALD,100,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Bimodal,100,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Bimodal,100,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Bimodal,100,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Bimodal,100,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Bimodal,100,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Mixed,100,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Mixed,100,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Mixed,100,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Mixed,100,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Mixed,100,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Gaussian,200,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Gaussian,200,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Gaussian,200,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Gaussian,200,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Gaussian,200,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
T,200,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
T,200,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
T,200,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
T,200,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
T,200,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Skew,200,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Skew,200,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Skew,200,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Skew,200,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Skew,200,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
ALD,200,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
ALD,200,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
ALD,200,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
ALD,200,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
ALD,200,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Bimodal,200,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Bimodal,200,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Bimodal,200,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Bimodal,200,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Bimodal,200,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Mixed,200,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Mixed,200,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Mixed,200,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Mixed,200,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Mixed,200,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Gaussian,1000,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Gaussian,1000,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Gaussian,1000,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Gaussian,1000,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Gaussian,1000,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
T,1000,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
T,1000,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
T,1000,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
T,1000,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
T,1000,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Skew,1000,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Skew,1000,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Skew,1000,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Skew,1000,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Skew,1000,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
ALD,1000,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
ALD,1000,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
ALD,1000,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
ALD,1000,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
ALD,1000,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Bimodal,1000,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Bimodal,1000,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Bimodal,1000,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Bimodal,1000,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Bimodal,1000,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
Mixed,1000,1,1,1,1,2,1,1.6666666666666667,0.5,0.6666666666666667
Mixed,1000,1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,0.6,0.7142857142857142
Mixed,1000,1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,0.7,0.7692307692307692
Mixed,1000,1,1,0.5,0.25,1.25,2,3,0.8,0.8333333333333334
Mixed,1000,1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,0.9,0.9090909090909091
